,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
865,0.566,0.66,1,-4.039,1,0.0479,0.0156,0.0,0.234,0.52,162.159,audio_features,6YdQgWSpsxhVeX6Xmv3IFJ,spotify:track:6YdQgWSpsxhVeX6Xmv3IFJ,https://api.spotify.com/v1/tracks/6YdQgWSpsxhVeX6Xmv3IFJ,https://api.spotify.com/v1/audio-analysis/6YdQgWSpsxhVeX6Xmv3IFJ,179979,3
866,0.421,0.887,0,-4.929,1,0.0574,0.18,0.00177,0.52,0.45,78.986,audio_features,7MlAND46qL6L5npwOhbaZK,spotify:track:7MlAND46qL6L5npwOhbaZK,https://api.spotify.com/v1/tracks/7MlAND46qL6L5npwOhbaZK,https://api.spotify.com/v1/audio-analysis/7MlAND46qL6L5npwOhbaZK,222981,4
867,0.857,0.666,7,-5.951,1,0.074,0.149,2.2e-06,0.111,0.623,139.966,audio_features,3DV3fcJ1Cgc5lVAdvw73Kx,spotify:track:3DV3fcJ1Cgc5lVAdvw73Kx,https://api.spotify.com/v1/tracks/3DV3fcJ1Cgc5lVAdvw73Kx,https://api.spotify.com/v1/audio-analysis/3DV3fcJ1Cgc5lVAdvw73Kx,159453,4
868,0.68,0.659,6,-7.186,1,0.151,0.229,0.0,0.474,0.75,98.877,audio_features,61bwFjzXGG1x2aZsANdLyl,spotify:track:61bwFjzXGG1x2aZsANdLyl,https://api.spotify.com/v1/tracks/61bwFjzXGG1x2aZsANdLyl,https://api.spotify.com/v1/audio-analysis/61bwFjzXGG1x2aZsANdLyl,114460,4
869,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,audio_features,1SmiQ65iSAbPto6gPFlBYm,spotify:track:1SmiQ65iSAbPto6gPFlBYm,https://api.spotify.com/v1/tracks/1SmiQ65iSAbPto6gPFlBYm,https://api.spotify.com/v1/audio-analysis/1SmiQ65iSAbPto6gPFlBYm,150440,4
870,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,audio_features,0qc4QlcCxVTGyShurEv1UU,spotify:track:0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/tracks/0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/audio-analysis/0qc4QlcCxVTGyShurEv1UU,174444,4
871,0.564,0.596,3,-5.909,1,0.0273,0.798,0.787,0.118,0.308,135.014,audio_features,2zQQai9nqofvLZ703t0Jxi,spotify:track:2zQQai9nqofvLZ703t0Jxi,https://api.spotify.com/v1/tracks/2zQQai9nqofvLZ703t0Jxi,https://api.spotify.com/v1/audio-analysis/2zQQai9nqofvLZ703t0Jxi,131437,4
872,0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476,audio_features,4AYtqFyFbX0Xkc2wtcygTr,spotify:track:4AYtqFyFbX0Xkc2wtcygTr,https://api.spotify.com/v1/tracks/4AYtqFyFbX0Xkc2wtcygTr,https://api.spotify.com/v1/audio-analysis/4AYtqFyFbX0Xkc2wtcygTr,201587,4
873,0.643,0.178,4,-8.56,0,0.0588,0.484,0.0108,0.122,0.0674,85.042,audio_features,3e0ZGE7Gp034iLknjQk4QW,spotify:track:3e0ZGE7Gp034iLknjQk4QW,https://api.spotify.com/v1/tracks/3e0ZGE7Gp034iLknjQk4QW,https://api.spotify.com/v1/audio-analysis/3e0ZGE7Gp034iLknjQk4QW,189289,4
874,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,0KoiMHhqKLoL4xM54rcWYY,spotify:track:0KoiMHhqKLoL4xM54rcWYY,https://api.spotify.com/v1/tracks/0KoiMHhqKLoL4xM54rcWYY,https://api.spotify.com/v1/audio-analysis/0KoiMHhqKLoL4xM54rcWYY,212500,4
875,0.422,0.269,8,-9.457,1,0.0359,0.513,0.000212,0.203,0.052,111.884,audio_features,5wejUto9orDIV7g8eb6VZ6,spotify:track:5wejUto9orDIV7g8eb6VZ6,https://api.spotify.com/v1/tracks/5wejUto9orDIV7g8eb6VZ6,https://api.spotify.com/v1/audio-analysis/5wejUto9orDIV7g8eb6VZ6,227370,3
876,0.618,0.546,0,-8.015,1,0.0269,0.0102,0.000403,0.293,0.576,110.049,audio_features,3BjQX42wrf1Ie1AopSnUGV,spotify:track:3BjQX42wrf1Ie1AopSnUGV,https://api.spotify.com/v1/tracks/3BjQX42wrf1Ie1AopSnUGV,https://api.spotify.com/v1/audio-analysis/3BjQX42wrf1Ie1AopSnUGV,299546,4
877,0.521,0.592,9,-9.801,1,0.134,0.0489,0.0,0.267,0.356,129.754,audio_features,395WRTyNwMGx80cDXqg6vM,spotify:track:395WRTyNwMGx80cDXqg6vM,https://api.spotify.com/v1/tracks/395WRTyNwMGx80cDXqg6vM,https://api.spotify.com/v1/audio-analysis/395WRTyNwMGx80cDXqg6vM,244573,4
878,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,audio_features,2bPGTMB5sFfFYQ2YvSmup0,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/tracks/2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/audio-analysis/2bPGTMB5sFfFYQ2YvSmup0,322340,4
879,0.529,0.801,11,-2.302,1,0.365,0.0923,0.0,0.129,0.118,130.896,audio_features,7zOZCxAjzxLVhgPCLGxiwy,spotify:track:7zOZCxAjzxLVhgPCLGxiwy,https://api.spotify.com/v1/tracks/7zOZCxAjzxLVhgPCLGxiwy,https://api.spotify.com/v1/audio-analysis/7zOZCxAjzxLVhgPCLGxiwy,161489,5
880,0.91,0.402,1,-9.55,1,0.0857,0.0297,0.00018,0.0801,0.825,135.993,audio_features,6MYJv37Mpj5njLLbxKWNun,spotify:track:6MYJv37Mpj5njLLbxKWNun,https://api.spotify.com/v1/tracks/6MYJv37Mpj5njLLbxKWNun,https://api.spotify.com/v1/audio-analysis/6MYJv37Mpj5njLLbxKWNun,216267,4
881,0.747,0.458,6,-6.891,1,0.303,0.451,0.0,0.252,0.47,75.029,audio_features,4uTvPEr01pjTbZgl7jcKBD,spotify:track:4uTvPEr01pjTbZgl7jcKBD,https://api.spotify.com/v1/tracks/4uTvPEr01pjTbZgl7jcKBD,https://api.spotify.com/v1/audio-analysis/4uTvPEr01pjTbZgl7jcKBD,182000,4
882,0.628,0.64,6,-4.164,0,0.0491,0.0992,0.0,0.138,0.409,129.815,audio_features,38SKB7UfhL6Sd6Joxex5yK,spotify:track:38SKB7UfhL6Sd6Joxex5yK,https://api.spotify.com/v1/tracks/38SKB7UfhL6Sd6Joxex5yK,https://api.spotify.com/v1/audio-analysis/38SKB7UfhL6Sd6Joxex5yK,201081,4
883,0.571,0.62,11,-5.879,1,0.0298,0.489,0.0,0.114,0.72,144.054,audio_features,17E5XweAlvnU7pkghMgvMs,spotify:track:17E5XweAlvnU7pkghMgvMs,https://api.spotify.com/v1/tracks/17E5XweAlvnU7pkghMgvMs,https://api.spotify.com/v1/audio-analysis/17E5XweAlvnU7pkghMgvMs,199360,4
